Name,Current Value,Main Position,Other Positions,Nationality,Date of Birth,City of Birth,Country of Birth,Height,Current Club,Contract Expires,On Loan From,Contract There Expires,Number,Foot,Outfitter
Cody Gakpo,€50.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Netherlands,"May 7, 1999 (24)",Eindhoven  ,Netherlands,"1,93 m",Liverpool FC,"Jun 30, 2028",-,-,#18,right,Puma
Martín Zubimendi,€50.00m,Defensive Midfield,['Central Midfield'],Spain,"Feb 2, 1999 (25)",Donostia-San Sebastián  ,Spain,"1,81 m",Real Sociedad,"Jun 30, 2027",-,-,#4,right,
Jules Koundé,€50.00m,Centre-Back,['Right-Back'],France,"Nov 12, 1998 (25)",Paris  ,France,"1,80 m",FC Barcelona,"Jun 30, 2027",-,-,#23,right,adidas
Raphinha,€50.00m,Right Winger,['Left Winger'],Brazil,"Dec 14, 1996 (27)",Porto Alegre  ,Brazil,"1,76 m",FC Barcelona,"Jun 30, 2027",-,-,#11,left,adidas
Benjamin Pavard,€50.00m,Centre-Back,['Right-Back'],France,"Mar 28, 1996 (28)",Maubeuge  ,France,"1,86 m",Inter Milan,"Jun 30, 2028",-,-,#28,right,adidas
Mikel Oyarzabal,€50.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Spain,"Apr 21, 1997 (27)",Eibar  ,Spain,"1,81 m",Real Sociedad,"Jun 30, 2028",-,-,#10,left,Nike
Dayot Upamecano,€50.00m,Centre-Back,[],France,"Oct 27, 1998 (25)",Évreux  ,France,"1,86 m",Bayern Munich,"Jun 30, 2026",-,-,#2,right,
Diogo Jota,€50.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Portugal,"Dec 4, 1996 (27)",Porto  ,Portugal,"1,78 m",Liverpool FC,"Jun 30, 2027",-,-,#20,right,adidas
Mikel Merino,€50.00m,Central Midfield,['Defensive Midfield'],Spain,"Jun 22, 1996 (27)",Pamplona  ,Spain,"1,89 m",Real Sociedad,"Jun 30, 2025",-,-,#8,left,adidas
Jarrod Bowen,€50.00m,Right Winger,"['Second Striker', 'Centre-Forward']",England,"Dec 20, 1996 (27)",Leominster  ,England,"1,75 m",West Ham United,"Jun 30, 2030",-,-,#20,left,adidas
Dani Olmo,€50.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Spain,"May 7, 1998 (25)",Terrassa  ,Spain,"1,79 m",RB Leipzig,"Jun 30, 2027",-,-,#7,right,adidas
Ivan Toney,€50.00m,Centre-Forward,[],England,"Mar 16, 1996 (28)",Northampton  ,England,"1,85 m",Brentford FC,"Jun 30, 2025",-,-,#17,right,
Federico Dimarco,€50.00m,Left-Back,"['Left Midfield', 'Centre-Back']",Italy,"Nov 10, 1997 (26)",Milano  ,Italy,"1,75 m",Inter Milan,"Jun 30, 2027",-,-,#32,left,adidas
Heung-min Son,€50.00m,Left Winger,"['Centre-Forward', 'Second Striker']",South Korea,"Jul 8, 1992 (31)","Chuncheon, Gangwon  ","Korea, South","1,84 m",Tottenham Hotspur,"Jun 30, 2025",-,-,#7,both,adidas
Conor Gallagher,€48.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",England,"Feb 6, 2000 (24)",Epsom  ,England,"1,82 m",Chelsea FC,"Jun 30, 2025",-,-,#23,right,
Eberechi Eze,€48.00m,Attacking Midfield,"['Left Midfield', 'Central Midfield']",England,"Jun 29, 1998 (25)",London  ,England,"1,78 m",Crystal Palace,"Jun 30, 2027",-,-,#10,right,New Balance
Brennan Johnson,€48.00m,Right Winger,"['Left Winger', 'Centre-Forward']",Wales,"May 23, 2001 (22)",Nottingham  ,England,"1,86 m",Tottenham Hotspur,"Jun 30, 2028",-,-,#22,right,
João Neves,€45.00m,Defensive Midfield,['Central Midfield'],Portugal,"Sep 27, 2004 (19)",Tavira  ,Portugal,"1,74 m",SL Benfica,"Jun 30, 2028",-,-,#87,right,
António Silva,€45.00m,Centre-Back,[],Portugal,"Oct 30, 2003 (20)",Viseu  ,Portugal,"1,87 m",SL Benfica,"Jun 30, 2027",-,-,#4,right,adidas
João Pedro,€45.00m,Centre-Forward,"['Left Winger', 'Second Striker']",Brazil,"Sep 26, 2001 (22)",Ribeirão Preto  ,Brazil,"1,82 m",Brighton & Hove Albion,"Jun 30, 2028",-,-,#9,right,
Giorgio Scalvini,€45.00m,Centre-Back,['Defensive Midfield'],Italy,"Dec 11, 2003 (20)",Chiari  ,Italy,"1,94 m",Atalanta BC,"Jun 30, 2028",-,-,#42,right,Puma
Destiny Udogie,€45.00m,Left-Back,['Left Midfield'],Italy,"Nov 28, 2002 (21)",Verona  ,Italy,"1,88 m",Tottenham Hotspur,"Jun 30, 2030",-,-,#38,left,Puma
Pedro Porro,€45.00m,Right-Back,['Right Midfield'],Spain,"Sep 13, 1999 (24)",Don Benito  ,Spain,"1,73 m",Tottenham Hotspur,"Jun 30, 2028",-,-,#23,right,Nike
Santiago Gimenez,€45.00m,Centre-Forward,[],Mexico,"Apr 18, 2001 (23)",Buenos Aires  ,Argentina,"1,82 m",Feyenoord Rotterdam,"Jun 30, 2027",-,-,#29,left,adidas
