Name,Current Value,Main Position,Other Positions,Nationality,Date of Birth,City of Birth,Country of Birth,Height,Current Club,Contract Expires,On Loan From,Contract There Expires,Number,Foot,Outfitter
Oihan Sancet,€35.00m,Attacking Midfield,['Central Midfield'],Spain,"Apr 25, 2000 (23)",Pamplona  ,Spain,"1,88 m",Athletic Bilbao,"Jun 30, 2032",-,-,#8,right,
Harvey Elliott,€35.00m,Attacking Midfield,"['Right Winger', 'Central Midfield']",England U21,"Apr 4, 2003 (21)",London  ,England,"1,70 m",Liverpool FC,"Jun 30, 2027",-,-,#19,left,New Balance
Cheick Doucouré,€35.00m,Defensive Midfield,['Centre-Back'],Mali,"Jan 8, 2000 (24)",Bamako  ,Mali,"1,80 m",Crystal Palace,"Jun 30, 2029",-,-,#28,right,
Mykhaylo Mudryk,€35.00m,Left Winger,"['Right Winger', 'Attacking Midfield']",Ukraine,"Jan 5, 2001 (23)","Krasnograd, Kharkiv Oblast  ",Ukraine,"1,75 m",Chelsea FC,"Jun 30, 2031",-,-,#10,right,Nike
Max Kilman,€35.00m,Centre-Back,['Left-Back'],,"May 23, 1997 (26)",London  ,England,"1,94 m",Wolverhampton Wanderers,"Jun 30, 2028",-,-,#23,left,
Tino Livramento,€35.00m,Right-Back,"['Right Midfield', 'Left-Back']",England U21,"Nov 12, 2002 (21)",London  ,England,"1,82 m",Newcastle United,"Jun 30, 2028",-,-,#21,right,adidas
Giorgi Mamardashvili,€35.00m,Goalkeeper,[],Georgia,"Sep 29, 2000 (23)",Tbilisi  ,Georgia,"1,97 m",Valencia CF,"Jun 30, 2027",-,-,#25,left,
Ryan Gravenberch,€35.00m,Central Midfield,['Defensive Midfield'],Netherlands U21,"May 16, 2002 (21)",Amsterdam  ,Netherlands,"1,90 m",Liverpool FC,"Jun 30, 2028",-,-,#38,right,adidas
Khéphren Thuram,€35.00m,Central Midfield,"['Defensive Midfield', 'Left Midfield']",France U23,"Mar 26, 2001 (23)",Reggio Emilia  ,Italy,"1,92 m",OGC Nice,"Jun 30, 2025",-,-,#19,right,
Curtis Jones,€35.00m,Central Midfield,"['Attacking Midfield', 'Left Midfield']",England U21,"Jan 30, 2001 (23)",Liverpool  ,England,"1,85 m",Liverpool FC,"Jun 30, 2027",-,-,#17,right,Nike
Nahuel Molina,€35.00m,Right-Back,['Right Midfield'],Argentina,"Apr 6, 1998 (26)",Embalse  ,Argentina,"1,75 m",Atlético de Madrid,"Jun 30, 2027",-,-,#16,right,
Ezri Konsa,€35.00m,Centre-Back,['Right-Back'],England,"Oct 23, 1997 (26)",London  ,England,"1,83 m",Aston Villa,"Jun 30, 2028",-,-,#4,right,
Yves Bissouma,€35.00m,Central Midfield,"['Defensive Midfield', 'Attacking Midfield']",Mali,"Aug 30, 1996 (27)",Issia  ,Cote d'Ivoire,"1,82 m",Tottenham Hotspur,"Jun 30, 2026",-,-,#8,right,Nike
Dávid Hancko,€35.00m,Centre-Back,['Left-Back'],Slovakia,"Dec 13, 1997 (26)",Prievidza  ,Slovakia,"1,88 m",Feyenoord Rotterdam,"Jun 30, 2028",-,-,#33,left,
