Name,Current Value,Main Position,Other Positions,Nationality,Date of Birth,City of Birth,Country of Birth,Height,Current Club,Contract Expires,On Loan From,Contract There Expires,Number,Foot,Outfitter
João Gomes,€28.00m,Central Midfield,['Defensive Midfield'],Brazil,"Feb 12, 2001 (23)",Rio de Janeiro   ,Brazil,"1,76 m",Wolverhampton Wanderers,"Jun 30, 2028",-,-,#8,right,Nike
Jamie Bynoe-Gittens,€28.00m,Left Winger,['Right Winger'],England U21,"Aug 8, 2004 (19)",London  ,England,"1,77 m",Borussia Dortmund,"Jun 30, 2028",-,-,#43,right,
Ilya Zabarnyi,€28.00m,Centre-Back,[],Ukraine,"Sep 1, 2002 (21)",Kyiv  ,Ukraine,"1,89 m",AFC Bournemouth,"Jun 30, 2028",-,-,#27,right,
Antony,€28.00m,Right Winger,['Left Winger'],Brazil,"Feb 24, 2000 (24)",São Paulo  ,Brazil,"1,72 m",Manchester United,"Jun 30, 2027",-,-,#21,left,Puma
Armando Broja,€28.00m,Centre-Forward,[],Albania,"Sep 10, 2001 (22)",Slough  ,England,"1,91 m",Fulham FC,"Jun 30, 2024",Chelsea FC,"Jun 30, 2028",#9,right,Nike
Youssouf Fofana,€28.00m,Central Midfield,"['Defensive Midfield', 'Right Midfield']",France,"Jan 10, 1999 (25)",Paris  ,France,"1,85 m",AS Monaco,"Jun 30, 2025",-,-,#19,right,adidas
Karim Adeyemi,€28.00m,Left Winger,"['Centre-Forward', 'Right Winger']",Germany U21,"Jan 18, 2002 (22)",München  ,Germany,"1,80 m",Borussia Dortmund,"Jun 30, 2027",-,-,#27,left,Nike
Matty Cash,€28.00m,Right-Back,"['Right Midfield', 'Central Midfield']",Poland,"Aug 7, 1997 (26)",Slough  ,England,"1,85 m",Aston Villa,"Jun 30, 2027",-,-,#2,right,Under Armour
Amine Gouiri,€28.00m,Left Winger,"['Centre-Forward', 'Second Striker']",Algeria,"Feb 16, 2000 (24)",Bourgoin-Jallieu  ,France,"1,81 m",Stade Rennais FC,"Jun 30, 2027",-,-,#10,right,
Giacomo Raspadori,€28.00m,Second Striker,"['Left Winger', 'Centre-Forward']",Italy,"Feb 18, 2000 (24)",Bentivoglio  ,Italy,"1,72 m",SSC Napoli,"Jun 30, 2028",-,-,#81,right,adidas
Vitaliy Mykolenko,€28.00m,Left-Back,"['Centre-Back', 'Left Midfield']",Ukraine,"May 29, 1999 (24)",Cherkasy  ,Ukraine,"1,80 m",Everton FC,"Jun 30, 2026",-,-,#19,left,
Kalvin Phillips,€28.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",England,"Dec 2, 1995 (28)",Leeds  ,England,"1,79 m",West Ham United,"Jun 30, 2024",Manchester City,"Jun 30, 2028",#11,right,
Ermedin Demirovic,€28.00m,Centre-Forward,"['Right Winger', 'Left Winger']",Bosnia,"Mar 25, 1998 (26)",Hamburg  ,Germany,"1,85 m",FC Augsburg,"Jun 30, 2026",-,-,#9,right,Nike
Taiwo Awoniyi,€28.00m,Centre-Forward,[],Nigeria,"Aug 12, 1997 (26)",Ilorin  ,Nigeria,"1,83 m",Nottingham Forest,"Jun 30, 2027",-,-,#9,right,
Viktor Tsygankov,€28.00m,Right Winger,"['Attacking Midfield', 'Left Winger']",Ukraine,"Nov 15, 1997 (26)",Nahariya  ,Israel,"1,78 m",Girona FC,"Jun 30, 2027",-,-,#8,left,
Alex Iwobi,€28.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Nigeria,"May 3, 1996 (27)",Lagos  ,Nigeria,"1,83 m",Fulham FC,"Jun 30, 2028",-,-,#22,right,Nike
Xaver Schlager,€28.00m,Central Midfield,"['Attacking Midfield', 'Defensive Midfield']",Austria,"Sep 28, 1997 (26)",Linz  ,Austria,"1,74 m",RB Leipzig,"Jun 30, 2026",-,-,#24,left,Puma
Konrad Laimer,€28.00m,Central Midfield,"['Defensive Midfield', 'Right-Back']",Austria,"May 27, 1997 (26)",Salzburg  ,Austria,"1,80 m",Bayern Munich,"Jun 30, 2027",-,-,#27,right,
Emiliano Martínez,€28.00m,Goalkeeper,[],Argentina,"Sep 2, 1992 (31)",Mar del Plata  ,Argentina,"1,95 m",Aston Villa,"Jun 30, 2027",-,-,#1,right,adidas
Aleksandar Mitrovic,€28.00m,Centre-Forward,[],Serbia,"Sep 16, 1994 (29)",Smederevo  ,Yugoslavia (Republic),"1,89 m",Al-Hilal SFC,"Jun 30, 2026",-,-,#9,right,Puma
Thiago Almada,€27.00m,Attacking Midfield,"['Left Winger', 'Right Winger']",Argentina U23,"Apr 26, 2001 (22)",Buenos Aires  ,Argentina,"1,71 m",Atlanta United FC,"Dec 31, 2026",-,-,#10,right,Nike
Mats Wieffer,€27.00m,Defensive Midfield,"['Central Midfield', 'Centre-Back']",Netherlands,"Nov 16, 1999 (24)",Borne  ,Netherlands,"1,88 m",Feyenoord Rotterdam,"Jun 30, 2027",-,-,#20,right,Puma
Denzel Dumfries,€27.00m,Right Midfield,['Right-Back'],Netherlands,"Apr 18, 1996 (28)",Rotterdam  ,Netherlands,"1,88 m",Inter Milan,"Jun 30, 2025",-,-,#2,right,
Olivier Boscagli,€27.00m,Centre-Back,"['Left-Back', 'Defensive Midfield']",France U21,"Nov 18, 1997 (26)",Monaco  ,Monaco,"1,81 m",PSV Eindhoven,"Jun 30, 2025",-,-,#18,left,
Murillo,€25.00m,Centre-Back,[],,"Jul 4, 2002 (21)",São Paulo  ,Brazil,"1,84 m",Nottingham Forest,"Jun 30, 2028",-,-,#40,left,Nike
Pau Cubarsí,€25.00m,Centre-Back,[],Spain,"Jan 22, 2007 (17)",Estanyol  ,Spain,"1,84 m",FC Barcelona,"Jun 30, 2026",-,-,#33,right,
